,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode,Cluster,PC1_2d,PC2_2d
0,3101674,101674,Sunday,Very typical,Queens,Middle Queens,NOON,Queens,Outer Queens,Home,Queens,Outer Queens,Home,11 to 15,3.0,Male,"$50,000 - $74,999",No,No,No,Yes,No,No,No,No,No,25-34,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I do not have access to a car,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,79.0,58.0,0.0,No,Citi Bike,Bike,Yes,2.269122796,School,0,-0.6009785919857151,-0.1654305240242138
1,11202717,10202717,Saturday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,26 to 30,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,66.0,51.0,0.25,No,Personal bicycle,Bike,Yes,0.868686684,Commute to/from work,0,0.16423097577891402,-0.4585746007501466
2,12202717,10202717,Saturday,Very typical,Queens,Middle Queens,NOON,Middle Queens,Middle Queens,Park/Recreational area/Gym,Queens,Middle Queens,Park/Recreational area/Gym,16 to 20,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,66.0,51.0,0.25,No,Personal bicycle,Bike,Yes,0.868686684,Social/recreation,0,0.14463822709702373,-0.2816652490207489
3,51200330,50200330,Thursday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Park/Recreational area/Gym,Queens,Middle Queens,Park/Recreational area/Gym,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,0,-0.4396271161996793,-0.12731791943717022
4,52200330,50200330,Thursday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,0,-0.4224886054475644,0.06113831872428699
5,53200330,50200330,Thursday,Very typical,Queens,Middle Queens,PM,Queens,Middle Queens,Park/Recreational area/Gym,Queens,Middle Queens,Park/Recreational area/Gym,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,0,-0.4296174745118396,0.1698871529308656
6,54200330,50200330,Thursday,Very typical,Queens,Middle Queens,PM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,11 to 15,4.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","High school graduate or equivalent (i.e., GED)",Yes,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,73.0,57.0,0.0,No,Personal bicycle,Bike,Yes,2.43311884,Social/recreation,0,-0.4124789637597249,0.35834339109233043
7,1100140,100140,Sunday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Home,Manhattan,Manhattan Core,Home,41 to 45,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,77.0,54.0,0.0,Yes,Citi Bike,Bike,Yes,0.363798756,Social/recreation,0,-0.4477605900659165,0.04076593613872302
8,1101712,101712,Sunday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Northern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",The Bronx,Southern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",0 to 5,1.0,Male,"$25,000 - $34,999",No,Yes,No,No,No,No,No,No,No,18-24,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,79.0,58.0,0.0,No,Citi Bike,Bike,Yes,0.443751382,Commute to/from work,0,-0.7337632184180678,-1.5902768974504191
9,1102096,102096,Sunday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,Park/Recreational area/Gym,The Bronx,Northern Bronx,Park/Recreational area/Gym,11 to 15,1.0,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,Some college but degree not received or in progress,Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,69.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.443751382,Social/recreation,0,-0.3797541435472744,-1.4486002693402094
10,1102138,102138,Sunday,Very typical,Staten Island,Staten Island,NOON,Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",6 to 10,1.0,Male,"Less than $14,999",No,No,Yes,No,No,No,No,No,No,45-54,"Black, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,69.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.420719809,Shopping,0,-0.401135425255144,-1.2611543898968969
